,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
0,2w1 ASUS ZenBook Flip 13 UX363EA-HP044R FHD i7-1165G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel Iris Xe,Windows 10 Pro PL,6499
1,2w1 DELL Inspiron 13 7306 UHD Dotykowy i7-1165G7,"13.3"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,6799
2,2w1 DELL XPS 13 9310 FHD+ Dotykowy i7-1165G7,"13.4"" (1920 x 1200)",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,8999
3,2w1 MICROSOFT Surface Book 2 13.5 i7-8650U,"13.5"" (3000 x 2000)",Intel® Core™ i7-8650U,8 GB DDR3,256 GB,NVIDIA GeForce GTX 1050 2GB GDDR5,Windows 10 Pro PL,9797
4,2w1 MICROSOFT Surface Book 3 13 Dotykowy i5-1035G7,"13.5"" (3000 x 2000)",Intel® Core™ i5-1035G7,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,Windows 10 Home PL,7639
5,2w1 MICROSOFT Surface Pro Core M3-7Y30,"12.3"" (2736 x 1824)",Intel® Core™ m3-7Y30,4 GB,128 GB,Intel HD 615,Windows 10 Pro PL,2097
6,ACER Aspire 3 A315-35-C6X3 NX.A6LEP.002 HD Celeron N4500,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N4500,4 GB DDR4,256 GB,Intel UHD,Windows 10 Home PL,1899
7,ACER Aspire 3 A315-35-C83K HD Celeron N4500,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N4500,8 GB DDR4,512 GB,Intel UHD,Windows 10 Home PL,2099
8,ACER Aspire 3 A317-33-C3UY FHD Celeron N4500,"17.3"" (1920 x 1080 (Full HD))",Intel® Celeron® N4500,8 GB DDR4,256 GB,Intel UHD,Windows 10 Home PL,2199
9,ACER Aspire 5 A514-52-306T NX.HDREP.001 i3-8145U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-8145U,4 GB DDR4,"NVMe , PCIe , 128 GB",Intel UHD 620,Windows 10 Home (w wersji S),1997
10,ACER Aspire 5 A514-54-307L NX.A27EP.005 FHD i3-1115G4,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"NVMe , PCIe , 256 GB",Intel UHD,Windows 10 Home PL,2599
11,ACER Aspire 5 A514-54-506P NX.A27EP.003 FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3199
12,ACER Aspire 5 A515-44-R5B5 NX.HW4EP.005 FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,512 GB,AMD Radeon,Windows 10 Home PL,2799
13,ACER Aspire 5 A515-54G-50NK NX.HN0EP.001 i5-10210U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"NVMe , PCIe , 1 TB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,2699
14,ACER Aspire 5 A515-55-51EC NX.HSHEP.001 FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel UHD,Windows 10 Home PL,2399
15,ACER Aspire 5 A515-55-550H FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,16 GB DDR4,"NVMe , PCIe , 512 GB",Intel UHD,Windows 10 Home PL,3299
16,ACER Aspire 5 A515-56-55NX NX.A18EP.005 FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3299
17,ACER Aspire 5 A517-52-35YC FHD i3-1115G4,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2899
18,ACER Aspire 5 A517-52-51Z6 NX.A5DEP.008 FHD i5-1135G7,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3099
19,ACER Aspire 7 A715-41G-R3XN NH.Q8QEP.002 FHD Ryzen 5 3550H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,8 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Windows 10 Home PL,3599
20,ACER Nitro 5 AN515-43-R7Q1 NH.Q5XEP.00B Ryzen5-3550H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,16 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon RX 560X 4GB GDDR5,Windows 10 Home PL,3397
21,ACER Nitro 5 AN515-55-5458 NH.Q7MEP.005 FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3399
22,ACER Nitro 5 AN515-55-5458 NH.Q7MEP.005 FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3399
23,ACER Nitro 5 AN517-51-54WS NH.Q5CEP.002 i5-9300H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-9300H,8 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3499
24,ACER Nitro 5 AN517-51-74NF NH.Q5CEP.008 i7-9750H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-9750H,16 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,4297
25,ACER Nitro 5 AN517-52-50AX NH.Q8KEP.00G FHD i5-10300H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,16 GB DDR4,"M.2 , 512 GB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5199
26,ACER Nitro 5 AN517-52-58HN NH.Q82EP.00K FHD i5-10300H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Brak,4297
27,ACER Predator Helios 300 PH315-52-72LF NH.Q54EP.004 i7-9750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-9750H,8 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,4799
28,ACER Predator Helios 300 PH315-53-58VF NH.Q7XEP.004 FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,16 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce GTX 1660Ti 6 GB GDDR6,Windows 10 Home PL,5599
29,ACER Predator Helios 300 PH315-53-71BS NH.Q7YEP.002 FHD i7-10750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"NVMe , PCIe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,6199
30,ACER Predator Helios 300 PH317-54-73QA NH.Q9VEP.007 FHD i7-10750H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"NVMe , PCIe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5997
31,ACER Predator Helios 700 PH717-72-72AC NH.Q91EP.001 FHD i7-10875H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10875H,32 GB DDR4,"NVMe , PCIe , 2 TB",2 TB,NVIDIA GeForce RTX 2070 Super 8 GB GDDR6,11499
32,ACER Predator Helios 700 PH717-72-77Q1 NH.Q91EP.002 FHD i7-10875H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10875H,32 GB DDR4,"NVMe , PCIe , 1 TB",NVIDIA GeForce RTX 2070 Super 8 GB GDDR6,Windows 10 Home PL,10299
33,ACER Predator Helios 700 PH717-72-94WD NH.Q92EP.001 FHD i9-10980HK,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i9-10980HK,64 GB DDR4,"NVMe , PCIe , 2 TB",1 TB,NVIDIA GeForce RTX 2080 Super 8 GB GDDR6,15999
34,ACER Predator Triton 300 PT315-52-77KF NH.Q7BEP.002 FHD i7-10750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"PCIe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5999
35,ACER Predator Triton 500 PT515-51-7630 NH.Q4WEP.019 FHD i7-9750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-9750H,16 GB DDR4,"NVMe , PCIe , 512 GB",NVIDIA GeForce RTX 2080 Max-Q 8 GB GDDR6,Windows 10 Home PL,7899
36,ACER Spin 1 SP111-32N N3350,"11.6"" (1920 x 1080 (Full HD))",Intel® Celeron® N3350,4 GB DDR3,"eMMC , 64 GB",Intel HD 500,Windows 10 Home PL,1347
37,ACER Swift 1 SF114-32-P05F NX.GZLEP.003 Pentium N5000,"14"" (1920 x 1080 (Full HD))",Intel® Pentium® Silver N5000,4 GB DDR4,"NVMe , PCIe , 128 GB",Intel UHD 605,Windows 10 Home (w wersji S),1849
38,ACER Swift 1 SF114-32-P05F NX.GZLEP.003 Pentium N5000,"14"" (1920 x 1080 (Full HD))",Intel® Pentium® Silver N5000,4 GB DDR4,"NVMe , PCIe , 128 GB",Intel UHD 605,Windows 10 Home (w wersji S),1849
39,ACER Swift 3 SF314-42-R275 NX.HSEEP.002 FHD Ryzen 5 4500U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon,Windows 10 Home PL,2799
40,APPLE MacBook Air 13 2560x1600 i5,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR4,"PCIe , 512 GB",Intel Iris Plus,macOS Catalina,6499
41,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,1 TB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,7099
42,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6459
43,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,1 TB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,7099
44,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,4999
45,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,4699
46,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,4799
47,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB DDR4,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6999
48,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB DDR4,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6959
49,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,4599
50,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,4999
51,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,5039
52,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,5689
53,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,5999
54,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,5839
55,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB DDR4,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6459
56,APPLE MacBook Air 13 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB DDR4,256 GB,APPLE M1 (7-rdzeniowe gpu),macOS Big Sur,5999
57,APPLE MacBook Air 13 MQD32ZE,"13.3"" (1440 x 900)",Intel® Core™ i5,8 GB DDR3,128 GB,Intel HD 6000,macOS Sierra,3689
58,APPLE MacBook Air 13 i3,"13.3"" (2560 x 1600)",Intel® Core™ i3,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,macOS Catalina,4699
59,APPLE MacBook Air 13 i3,"13.3"" (2560 x 1600)",Intel® Core™ i3,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,macOS Catalina,4999
60,APPLE MacBook Air 13 i3,"13.3"" (2560 x 1600)",Intel® Core™ i3,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,macOS Catalina,4999
61,APPLE MacBook Air 13 i5,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,macOS Catalina,4899
62,APPLE MacBook Air 13 i5,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,macOS Catalina,4899
63,APPLE MacBook Air 13 i5,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR4,"PCIe , 512 GB",Intel Iris Plus,macOS Catalina,6499
64,APPLE MacBook Air 13 i5,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR4,"PCIe , 512 GB",Intel Iris Plus,macOS Catalina,5659
65,APPLE MacBook Pro 13.3 Gwiezdna szarość MPXT2ZE,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,256 GB,Intel Iris Plus 640,macOS Sierra,6997
66,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB,1 TB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,7999
67,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,8499
68,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6499
69,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB,256 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,6999
70,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB,512 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,9699
71,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB,256 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,5849
72,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB,1 TB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,8699
73,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,8 GB,256 GB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,5829
74,APPLE MacBook Pro 13.3 M1,"13.3"" (2560 x 1600)",Apple M1,16 GB,1 TB,APPLE M1 (8-rdzeniowe gpu),macOS Big Sur,10999
75,APPLE MacBook Pro 13.3 i5 1.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,512 GB,Intel Iris Plus 645,macOS Catalina,6788
76,APPLE MacBook Pro 13.3 i5 1.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,256 GB,Intel Iris Plus 645,macOS Catalina,6299
77,APPLE MacBook Pro 13.3 i5 1.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,512 GB,Intel Iris Plus 645,macOS Catalina,6348
78,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,16 GB DDR4,1 TB,Intel Iris Plus,macOS Catalina,9369
79,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,32 GB DDR4,1 TB,Intel Iris Plus,macOS Catalina,12399
80,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,16 GB DDR4,512 GB,Intel Iris Plus,macOS Catalina,8749
81,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,16 GB DDR4,512 GB,Intel Iris Plus,macOS Catalina,8749
82,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,32 GB DDR4,512 GB,Intel Iris Plus,macOS Catalina,11279
83,APPLE MacBook Pro 13.3 i5 2GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,16 GB DDR4,1 TB,Intel Iris Plus,macOS Catalina,10399
84,APPLE MacBook Pro 13.3 z Touch Bar i5 1.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,256 GB,Intel Iris Plus 645,macOS Mojave,7499
85,APPLE MacBook Pro 13.3 z Touch Bar i5 2.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,512 GB,Intel Iris Plus 655,macOS Mojave,7999
86,APPLE MacBook Pro 13.3 z Touch Bar i5 2.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,256 GB,Intel Iris Plus 655,macOS Mojave,5499
87,APPLE MacBook Pro 13.3 z Touch Bar i5 2.4GHz,"13.3"" (2560 x 1600)",Intel® Core™ i5,8 GB DDR3,512 GB,Intel Iris Plus 655,macOS Mojave,9999
88,APPLE MacBook Pro 16 i7 2.6GHz,"16"" (3072 x 1920)",Intel® Core™ i7,16 GB DDR4,512 GB,AMD Radeon Pro 5300M 4 GB GDDR6,macOS Catalina,11499
89,APPLE MacBook Pro 16 i7 2.6GHz,"16"" (3072 x 1920)",Intel® Core™ i7,16 GB DDR4,512 GB,AMD Radeon Pro 5300M 4 GB GDDR6,macOS Catalina,11499
90,APPLE MacBook Pro 16 i9 2.3GHz,"16"" (3072 x 1920)",Intel® Core™ i9,16 GB DDR4,1 TB,AMD Radeon Pro 5500M 4 GB GDDR6,macOS Catalina,12399
91,ASUS E410MA-EB338T FHD Pentium Silver N5030,"14"" (1920 x 1080 (Full HD))",Intel® Pentium® Silver N5030,4 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD 605,Windows 10 Home PL,1899
92,ASUS F509DA-EJ883T FHD Ryzen 7 3700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2899
93,ASUS F509FJ-EJ401AT FHD i5-8265U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-8265U,4 GB DDR4,"M.2 PCIe , NVMe , 256 GB",1 TB,NVIDIA GeForce MX230 2GB GDDR5,1999
94,ASUS F509JA-BQ613 FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Brak,2199
95,ASUS F509JA-BQ613T FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2699
96,ASUS F509JA-BQ651T FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2699
