,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
181,HP 14s-fq0012nw FHD Athlon Silver 3050U,"14"" (1920 x 1080 (Full HD))",AMD Athlon™ Silver 3050U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home PL,2149
182,HP 14s-fq0023nw FHD Ryzen 3 3250U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2299
183,HP 15-db1061nw FHD Ryzen 5 3500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,2599
184,HP 15-db1066nw FHD Ryzen 7 3700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2949
185,HP 15-db1067nw FHD Ryzen 5 3500,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,3199
186,HP 15-ra073nw N3060,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N3060,4 GB DDR3,500 GB,Intel HD,Windows 10 Home PL,897
187,HP 15s-eq0032nw FHD Ryzen 7 3700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2497
188,HP 15s-eq0034nw FHD Ryzen 5 3500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,2399
189,HP 15s-eq1023nw FHD Ryzen 3 3250U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2399
190,HP 15s-eq1027nw FHD Athlon 3050U,"15.6"" (1920 x 1080 (Full HD))",AMD Athlon™ Silver 3050U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,1999
191,HP 15s-eq1028nw FHD Ryzen 3 3250U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2899
192,HP 15s-eq1029nw FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3149
193,HP 15s-eq1035nw FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Brak,2199
194,HP 15s-fq0930nw FHD Celeron N4020,"15.6"" (1920 x 1080 (Full HD))",Intel® Celeron® N4020,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD 600,Windows 10 Home PL,1999
195,HP 15s-fq1160nw FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,2799
196,HP 15s-fq2003nw FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,2899
197,HP 15s-fq2004nw FHD i3-1115G4,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,2399
198,HP 15s-fq2009nw FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,2599
199,HP 15s-fq2017nw FHD i3-1115G4,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2599
200,HP 17-ca1011nw FHD Ryzen 5 3500U,"17.3"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,2999
201,HP Envy 13-aq1002nw FHD i7-1065G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Plus,Windows 10 Home PL,4699
202,HP Envy 15-ep0001nw FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1660 Ti Max-Q 6 GB GDDR6,Windows 10 Home PL,5999
203,HP Envy 15-ep0004nw UHD Dotykowy i9-10885H,"15.6"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i9-10885H,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB (2x 512 GB)",NVIDIA GeForce RTX 2060 Max-Q 6 GB GDDR6,Windows 10 Home PL,9999
204,HP Envy 15-ep0039nw UHD Dotykowy i9-10885H,"15.6"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i9-10885H,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB (2x 512 GB)",NVIDIA GeForce RTX 2060 Max-Q 6 GB GDDR6,Windows 10 Home PL,9999
205,HP Envy 15-ep0040nw UHD Dotykowy i7-10750H,"15.6"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i7-10750H,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2060 Max-Q 6 GB GDDR6,Windows 10 Home PL,9499
206,HP Envy 17-cg0002nw FHD i7-1065G7,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce MX330 4GB GDDR5,Windows 10 Home PL,5799
207,HP Omen 15-dc1021nw i5-8300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-8300H,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",1 TB,NVIDIA GeForce RTX 2060 6 GB GDDR6,4497
208,HP Omen 15-ek0009nw FHD i7-10750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2070 Max-Q 8 GB GDDR6,Windows 10 Home PL,6499
209,HP Omen 15-en0004nw FHD Ryzen 7 4800H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4800H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5999
210,HP Omen 15-en0022nw FHD Ryzen 7 4800H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4800H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Home PL,5999
211,HP Omen 17-an112nw i7-8750H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-8750H,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",NVIDIA GeForce GTX 1050 Ti 4GB GDDR5,Windows 10 Home PL,3997
212,HP Omen X 2S 15-dg0000nw FHD i9-9880H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i9-9880H,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB (2x 512 GB)",NVIDIA GeForce RTX 2080 8 GB GDDR6,Windows 10 Home PL,11999
213,HP Omen X 2S 15-dg0002nw FHD i7-9750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-9750H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB (2x 512 GB)",NVIDIA GeForce RTX 2070 Max-Q 8 GB GDDR6,Windows 10 Home PL,7499
214,HP Omen X 2S 15-dg0010nw FHD i7-9750H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-9750H,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2080 8 GB GDDR6,Windows 10 Home PL,9997
215,HP Pavilion 13-an0009nw i5-8265U,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-8265U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD 620,Windows 10 Home PL,2697
216,HP Pavilion 13-bb0003nw FHD i7-1165G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4199
217,HP Pavilion 14-ce3001nw i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD 620,Windows 10 Home PL,3299
218,HP Pavilion 14-ce3019nw FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel UHD 620,Windows 10 Home PL,3799
219,HP Pavilion 14-dv0000nw FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel Iris Xe,Windows 10 Home PL,3699
220,HP Pavilion 14-dv0001nw FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3349
221,HP Pavilion 14-dv0012nw FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3299
222,HP Pavilion 14-dv0033nw FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3299
223,HP Pavilion 14-dv0034nw FHD i3-1115G4,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2649
224,HP Pavilion 15-cs3001nw i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,3199
225,HP Pavilion 15-cs3002nw i7-1065G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,3999
226,HP Pavilion 15-cs3058nw FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,2599
227,HP Pavilion 15-eg0004nw FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX350 2GB GDDR5,Windows 10 Home PL,3199
228,HP Pavilion 15-eg0005nw FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX350 2GB GDDR5,Windows 10 Home PL,3799
229,HP Pavilion 15-eg0053nw FHD i7-1165G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX450 2 GB GDDR6,Windows 10 Home PL,4349
230,HP Pavilion 15-eg0075nw FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3299
231,HP Pavilion 15-eh0007nw FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2799
232,HP Pavilion 15-eh0008nw FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2799
233,HP Pavilion 15-eh0024nw FHD Ryzen 7 4700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4700U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3499
234,HP Pavilion 15-eh0025nw FHD Ryzen 7 4700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3199
235,HP Pavilion Gaming 15-dk1056nw FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce RTX 2060 Max-Q 6 GB GDDR6,Windows 10 Home PL,4899
236,HP Pavilion Gaming 15-ec0000nw FHD Ryzen 5 3550H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,8 GB DDR4,"M.2 , NVMe , 256 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,3199
237,HP Pavilion Gaming 15-ec0045nw FHD Ryzen5-3550H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3550H,16 GB DDR4,"M.2 , NVMe , 512 GB",NVIDIA GeForce GTX 1650 4GB GDDR5,Windows 10 Home PL,4299
238,HP Pavilion Gaming 15-ec1066nw FHD Ryzen 5 4600H,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4600H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1050 3 GB GDDR5,Windows 10 Home PL,3199
239,HP Pavilion Gaming 16-a0018nw FHD i7-10750H,"16.1"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1660 Ti Max-Q 6 GB GDDR6,Windows 10 Home PL,4299
240,HP Pavilion Gaming 16-a0019nw FHD i7-10750H,"16.1"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce GTX 1660 Ti Max-Q 6 GB GDDR6,Brak,4299
241,HP Pavilion Gaming 16-a0023nw FHD i5-10300H,"16.1"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Brak,3449
242,HP Pavilion Gaming 16-a0026nw FHD i5-10300H,"16.1"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Windows 10 Home PL,3899
243,HP Pavilion Gaming 17-cd1016nw FHD i7-10750H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10750H,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce RTX 2060 Max-Q 6 GB GDDR6,Windows 10 Home PL,5999
244,HUAWEI MateBook 13 (2020) Dotykowy i7-10510U,"13"" (2160 x 1440)",Intel® Core™ i7-10510U,16 GB DDR3,"PCIe , 512 GB",NVIDIA GeForce MX250,Windows 10 Home PL,4497
245,HUAWEI MateBook 13 (2020) Ryzen 5 3500,"13"" (2160 x 1440)",AMD Ryzen™ 5 3500U,8 GB DDR4,"PCIe , 256 GB",AMD Radeon Vega 8,Windows 10 Home PL,2699
246,HUAWEI MateBook 13 (2020) i5-10210U,"13"" (2160 x 1440)",Intel® Core™ i5-10210U,8 GB DDR3,"PCIe , 512 GB",Intel UHD,Windows 10 Home PL,3999
247,HUAWEI MateBook 14 (2020) Ryzen 5 4600H,"14"" (2160 x 1440)",AMD Ryzen™ 5 4600H,16 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon,Windows 10 Home PL,3999
248,HUAWEI MateBook 14 (2021) i5-1135G7,,,,,,,4599
249,HUAWEI MateBook D 15 (2020) Ryzen 5 3500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"NVMe , PCIe , 256 GB",AMD Radeon Vega 8,Windows 10 Home PL,2499
250,HUAWEI MateBook D 15 (2021) FHD i3-10110U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i3,8 GB DDR4,"NVMe , PCIe , 256 GB",Intel UHD,Windows 10 Home PL,2799
251,HUAWEI MateBook D 15 (2021) FHD i5-1135G7,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"NVMe , PCIe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3999
252,HUAWEI MateBook D14 (2020) FHD Ryzen 7 3700U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2999
253,HUAWEI MateBook D14 (2020) FHD i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"NVMe , PCIe , 256 GB",Intel UHD,Windows 10 Home PL,2899
254,HUAWEI MateBook D14 (2020) Ryzen 5-3500U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,2999
255,HUAWEI MateBook D16 FHD Ryzen 5 4600H,"16.1"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4600H,16 GB DDR4,"NVMe , PCIe , 512 GB",AMD Radeon,Windows 10 Home PL,3999
256,HUAWEI MateBook X (2020) Dotykowy i5-10210U,"13"" (3000 x 2000)",Intel® Core™ i5-10210U,16 GB DDR3,"NVMe , PCIe , 512 GB",Intel UHD,Windows 10 Home PL,4999
257,HUAWEI MateBook X Pro (2019) i5-8265U,"13.9"" (3000 x 2000)",Intel® Core™ i5-8265U,8 GB DDR3,"NVMe , PCIe , 512 GB",NVIDIA GeForce MX250 2 GB,Windows 10 Home PL,4497
258,HUAWEI MateBook X Pro (2019) i7-8565U,"13.9"" (3000 x 2000)",Intel® Core™ i7-8565U,8 GB DDR3,"NVMe , PCIe , 512 GB",NVIDIA GeForce MX250 2 GB,Windows 10 Home PL,4999
259,HUAWEI MateBook X Pro (2020) Dotykowy i5-10210,"13.9"" (3000 x 2000)",Intel® Core™ i5-10210U,16 GB DDR3,"NVMe , PCIe , 512 GB",NVIDIA GeForce MX250 2 GB,Windows 10 Pro PL,5999
260,HUAWEI MateBook X Pro (2020) Dotykowy i7-10510U,"13.9"" (3000 x 2000)",Intel® Core™ i7-10510U,16 GB DDR3,"NVMe , PCIe , 1 TB",NVIDIA GeForce MX250 2 GB,Windows 10 Pro PL,7499
261,KIANO Elegance 14.2 Pro N4200,"14.1"" (1920 x 1080 (Full HD))",Intel® Pentium® N4200,4 GB DDR3,120 GB,Intel HD 505,Windows 10 Pro PL,997
262,LENOVO IdeaPad 3 14ADA05 81W0005XPB FHD Athlon Silver 3050U,"14"" (1920 x 1080 (Full HD))",AMD Athlon™ Silver 3050U,4 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home (w wersji S),1799
263,LENOVO IdeaPad 3 14IIL05 81WD00QXPB FHD i3-1005G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1005G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home PL,2099
264,LENOVO IdeaPad 3 14IIL05 81WD00R3PB FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",NVIDIA GeForce MX330 2GB GDDR5,Windows 10 Home PL,2649
265,LENOVO IdeaPad 5 14ARE05 81YM00CUPB FHD Ryzen 7 4700U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4700U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2999
266,LENOVO IdeaPad 5 14IIL05 81YH00L7PB FHD i7-1065G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Plus,Windows 10 Home PL,3299
